Dept,Department,Owner,Program,Goal,KPI_CODE,Performance Measure,Description,Technical Description,Performance Pattern,Unit of Measure,FY 2011   Total Actual Data,FY 2012   Total Actual Data,FY 2013   June Actual Data,FY 2013   Total Actual Data,FY 2013   Total Target Data,FY 2013   Total Projected Data,FY 2014   Total Target Data,FY 2015   Total Target Data,FY 2013   Yr End Actual Explanation,FY 2013   Yr End Dept Comment,Major Service Area,Annual Performance Measure Report,City Survey Report,CAFR Report,Government Barometer Report,Mayor's Budget Book,Performance Appraisal Report
MYR,MAYOR,pmadmin,COMMUNITY DEVELOPMENT,Provide support services to stabilize individuals and families,KPI115921578155992,Number of individuals receiving services through HOPWA,Community-based organizations receive HOPWA funds to provide housing and supportive services for persons with HIV/AIDS. This measure is the number of individuals receiving housing and/or supportive services through HOPWA-funded activities.,"Collection Method: Data is collected through regular on-line reporting by funded agencies to MOH. Timing:  MOH reporting is on a federal timeline. MOH closes out contracts in mid-August, and submits data to the U.S. Department of Housing and Urban Development (HUD) by September 30th. MOH can provide year-end actuals by mid-October. Six-month data is available, if given adequate lead time, after mid-February.",Above target is positive,General,0,0,644,644,528,528,494,1114, ,,,No,No,No,No,No,No
MYR,MAYOR,"Lu, Carol",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,MYR.XXX.01.860.860,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","Collection Method: Evaluations tracked the administrative division of the Mayor's Office. (Shalonda Baldwin) Timing:  The Mayor's Office conducts performance evaluation on a calendar year basis, not a fiscal year. Evaluations for the upcoming calendar year are scheduled in December. Evaluations for the calendar year that is about to end occur in December. December 2005 was the first year evaluations were scheduled (for calendar year 2006).",Above target is positive,General,0,85,86,86,86,86,86,86, ,,G General City Responsibilities,Yes,No,No,No,No,Yes
MYR,MAYOR,"Lu, Carol",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,MYR.XXX.01.861.861,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.","Collection Method: Evaluations tracked by the administrative division of the Mayor's Office. (Shalonda Baldwin) Timing:  The Mayor's Office conducts performance evaluation on a calendar year basis, not a fiscal year. Evaluations for the upcoming calendar year are scheduled in December. Evaluations for the calendar year that is about to end occur in December. December 2005 was the first year evaluations were scheduled (for calendar year 2006).",Above target is positive,General,0,77,63,63,86,86,86,86, ,,G General City Responsibilities,Yes,No,No,No,No,Yes
MYR,MAYOR,pmadmin,NEIGHBORHOOD SERVICES,Connect diverse groups to City Hall,KPI128119378954811,Number of cultural events produced,,,Above target is positive,General,,,,,,,,,,,,No,No,No,No,No,No
MYR,MAYOR,"Lu, Carol",NEIGHBORHOOD SERVICES,Respond to citizens,MYR.FAJ.01.848.848,"Number of Certificates, Proclamations, and Greeting Letters Issued","Total number of Certificates, Proclamations and Greeting Letters issued by the Mayor's Office of Neighborhood Services.","Collection Method: Office Manager tracks certificates, proclamations and greeting letters online as they are issued in an excel database, and then adds them for periodic reporting. Timing:  Real time.",Above target is positive,General,1500,1645,1624,1624,1500,1610,1500,1500, ,,G General City Responsibilities,Yes,No,No,No,Yes,No
MYR,MAYOR,pmadmin,NEIGHBORHOOD SERVICES,Respond to citizens,KPI128110378455223,Number of community engagement events produced,,,Above target is positive,General,,,,,,,,,,,,No,No,No,No,No,No
MYR,MAYOR,"Lu, Carol",NEIGHBORHOOD SERVICES,Respond to citizens,MYR.FAJ.01.849.849,Number of Community Outreach Events,Number of Community Outreach Events produced for the Mayor by the Mayor's Office of Neighborhood Services.,Collection Method: Excel database kept with summary of town hall meetings. Timing:  Real time.,Above target is positive,General,10,7,7,7,7,7,7,7,The Mayor held 6 district-specific town halls and one online town hall during budget season. ,,G General City Responsibilities,Yes,No,No,No,Yes,No
MYR,MAYOR,"Lu, Carol",PUBLIC POLICY & FINANCE,Obtain citizen input and promote understanding of the City's budget,MYR.FEY.02.851.851,"Number of presentations to advocates, labor groups, community organizations, and other stakeholders",NEW measure by MYR Feb 06. Measure tracks the count of meetings and presentations to stakeholders on the City's budget. Meteings with City department heads and budget staff are excluded.,Collection Method: Meetings/presentations are tracked over the course of the year by the Budget Office. Timing:  Meetings/presentations are tracked over the course of the year by the Budget Office.  Most occur during the budget season (March - June).,Above target is positive,General,28,35,25,25,25,25,25,25, ,Our office completed 25 public presentations between January and July of 2013,G General City Responsibilities,Yes,No,No,No,Yes,No
PAB,BOARD OF APPEALS,"Pacheco, Victor",APPEALS PROCESSING,Provide a fair and efficient administrative appeals process to the public,PAB.BAH.01.862.862,Percentage of cases decided within 75 days of filing,"Current and prior years data reflect percentage of cases decided within 75 days of filing.  Construction projects and business activities are delayed while the Board processes and decides appeals.  The sooner appeals are heard by the Board, the less the delay caused by the process.","Collection Method: Log and department files. Timing:  Our data is available on a weekly basis, as appeals are decided by the Board.",Above target is positive,Percent,0.77,0.65,0.62,0.62,0.65,0.72,0.6,0.6,"For the FY ending June 30, 2013, the Board decided 99 appeals; 61 of the 99 were decided within the 75 day window or 62%.",This measure is inherently volatile due to the nature of the appeals process.  Appeals may be rescheduled at the request of parties to allow time for settlement negotiations; appeals may also be heard by the Board initially and then continued if the Board requires supplemental evidence.  The fluctuating volume of appeals filed also influences how quickly a matter can be heard by the Board.,"B Public Works, Transportation & Commerce",Yes,No,No,No,Yes,No
PAB,BOARD OF APPEALS,"Pacheco, Victor",APPEALS PROCESSING,Provide a fair and efficient administrative appeals process to the public,PAB.BAH.01.863.863,Percentage of written decisions released within 15 days of final action,"Current and prior years data reflect percentage of written decisions released within 15 days of final action.  The scheduling of hearings is at the beginning of the process and the distribution of the Board's Notice of Decision and Order is at the end.  The goal is to always send out decisions as soon as possible following the board's final action on an appeal so that the public, project sponsors and businesses are only minimally delayed.","Collection Method: Log and department files. Timing:  Our data is available on a weekley basis, as Board decisions become final, and then notices of decision are released.",Above target is positive,Percent,0.98,1,1,1,0.97,1,0.97,0.97,"For the FY ending June 30, 2013, Board staff released 99 written decisions; all 99 were released within 15 days of final action, or 100%.",The Board office consistently releases written decisions in a timely manner; no unusual circumstances have arisen requiring a delay.,"B Public Works, Transportation & Commerce",Yes,No,No,No,Yes,No
PAB,BOARD OF APPEALS,"Pacheco, Victor",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,PAB.XXX.01.864.864,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","Collection Method: New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion. Timing:  This data is available on a yearly basis.",Above target is positive,General,5,5,5,5,5,0,5,5, ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,Yes
PAB,BOARD OF APPEALS,"Pacheco, Victor",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,PAB.XXX.01.865.865,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted and completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.",Collection Method: Performance appraisals are kept on employee personnel files. Timing:  This data is available on a yearly basis.,Above target is positive,General,5,5,5,5,5,0,5,5, ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,Yes
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide alternatives to incarceration,KPI91122309707716,Number of carryover participants in Drug Court,Number of participants who are remaining active in Drug Court during the reporting period.,Collection Method: Hand count and Excel database. Timing: Upon request to Drug Court staff. Spreadsheet is maintained in Specialty Unit file share.,Above target is positive,General,0,283,146,146,200,200,200,120,The Drug Court numbers have been significantly reduced due to eligibility issues and overall reduction in felony drug filings.  ,,,No,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide alternatives to incarceration,KPI91125309719852,Number of dismissals of Drug Court client cases,Number of cases in which a client has graduated from Drug Court and obtained a dismissal in a case.,Collection Method: Hand count and Excel database. Timing: Upon request to Drug Court staff. Spreadsheet is maintained in Specialty Unit file share.,Above target is positive,General,0,132,112,112,120,80,80,75,The Drug Court numbers have been significantly reduced due to eligibility issues and overall reduction in felony drug filings.  ,,,No,No,No,No,No,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide alternatives to incarceration,KPI91123309713162,Number of Drug Court cases in bench warrant status,"Drug Court cases in which the client has a bench warrant. Such cases frequently require legal consultation, research and motion work.",Collection Method: Hand count and Excel database. Timing: Upon request to Drug Court staff. Spreadsheet is maintained in Specialty Unit file share.,Above target is positive,General,0,477,127,127,300,300,300,100,The Drug Court numbers have been significantly reduced due to eligibility issues and overall reduction in felony drug filings.  ,,,No,No,No,No,No,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide alternatives to incarceration,KPI14865526804809,Number of new participants in Drug Court,Number of clients in the reporting period who start participation in Drug Court. Includes Drug Court Track I cases (Drug Diversion.) ,Collection Method: Hand count and Excel database. Timing: Upon request to Drug Court staff. Spreadsheet is maintained in Specialty Unit file share.,Above target is positive,General,0,272,159,159,336,150,150,150,The Drug Court numbers have been significantly reduced due to eligibility issues and overall reduction in felony drug filings.  ,,,No,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide expungement services,KPI91106309507445,Number of applicants/individuals receiving legal consultation and referrals via drop in services and telephone conferences,"The Public Defender's Office assists people in clearing their records by helping them get expungements, certificates of rehabilitation from the Governor and by getting their records sealed. Includes document review and legal research into whether relief is available.   Drop in services provided in the office and at four Walk-in Clinics located at community-based sites.",Collection Method: Ongoing hand count by Clean Slate program and staff. Timing: When needed upon request to the Clean Slate program unit. Spreadsheet is maintained in Clean Slate Unit file share.,Above target is positive,General,0,5268,4975,4975,4758,4800,4758,4800,Based on counts and databases maintained by Clean Slate staff.,,,No,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide expungement services,PDR.AIB.02.871.871,Number of motions filed on behalf of the clients under Clean Slate,Number of motions filed on behalf of the clients under the Clean Slate Program. Motions include PC 1203.4 (expungment); PC 851.8 (seal & destroy arrest); 851.90 (seal arrest); 849.5 (arrest and release); 1203.3 (early termination of probation); 17(b)(3) (felony to misdemeanor reduction); 4852 et seq (Certificates of Rehabilitation).,Collection Method: Ongoing hand count by Clean Slate program and staff. Timing: When needed upon request to the Clean Slate program unit. Spreadsheet is maintained in Clean Slate Unit file share.,Above target is positive,General,1512,1129,1145,1145,1400,720,720,720,"Expungement cases are heard every Wednesday morning in Dept. 18 of the Superior Court.  In response to recent budget constraints, the SF Superior Court has imposed a limit of twenty-five cases total for each court date.  This limit includes cases filed by private counsel and cases that were continued for further hearing.  As such, only a portion of Expungement cases are calendared for hearing.",,A Public Protection,Yes,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide Re-entry Services to Clients,KPI91144309855100,Number of clients evaluated for referral to services,Number of clients evaluated by Reentry Unit staff for referral to services.,Hand count and Excel database. Timing: Upon request to Reentry Unit Staff. Spreadsheet is maintained in Re-entry Unit file share.,Above target is positive,General,0,284,316,316,300,300,300,300,Based on actual number of clients evaluated by Reentry staff for referral to services.,,,No,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide Re-entry Services to Clients,KPI91145309861766,Number of clients referred to services,Number of clients referred by Reentry Unit staff to services.,Hand count and Excel database. Timing: Upon request to Reentry Unit Staff. Spreadsheet is maintained in Reentry Unit file share.,Above target is positive,General,0,232,212,212,200,200,200,200,Based on number of clients referred to services by Reentry Unit staff.,,,No,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide Services for Children of Incarcerated Parents,KPI91155309896962,Number of clients evaluated for referral and referred to services,Number of clients evaluated by staff of Children of Incarcerated Parents program for referral to services and subsequently referred to services.,Hand count and Excel database. Timing: Upon request to CIP Staff. Spreadsheet is maintained in Specialty Unit file share.,Above target is positive,General,0,79,79,79,85,85,85,85,Number of clients evaluated by CIP staff and referred to services.,,,No,No,No,No,No,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Provide training to staff,PDR.AIB.03.873.873,Number of training programs offered to staff,"Number of training programs offered to both new and experienced  attorneys, investigators, interns and support staff.",Collection Method: Ongoing hand count by training staff Timing:  The department maintains current number of trainings offered each month.,Above target is positive,General,137,234,144,144,120,130,120,120,"Total number of trainings offered to PDR staff, including sessions of trainings for new attorneys.",,A Public Protection,Yes,No,No,No,No,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Represent defendants effectively,PDR.AIB.01.866.866,Number of felony matters handled,"Number of felony cases in which the PDR appeared in court at least once. A felony is an offense carrying a possible state prison sentence, generally exceeding one year.  (examples: drug sales, robbery, sexual assault).  Measure includes both unadjudicated cases and Motions to Revoke Probation.",Collection Method: CCSF CMS Report #5029 Timing:  Upon request to CMS,Above target is positive,General,11847,7672,8857,8857,7425,8433,8433,8433,The department receives this data from Superior Court CMS (Case Management System). The actual is based on actual number of clients represented by the PD Felony Unit. Total number is from CMS report.,,A Public Protection,Yes,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Represent defendants effectively,PDR.AIB.01.869.869,Number of juvenile matters handled,Number of juvenile matters handled in delinquency cases: Total court appearances.,"Collection Method:  Juvenile Court caseload statistic, YGC, and departmental hand count. Timing:  Since this data is maintained by our department, it can be accessed upon request when needed. The methodology is that the attorneys hand in their daily calendars which are then hand counted by our Legal Process Clerk Virginia Libiran, each month based on categories which include new cases, transfer in cases, conflict declared, progress reports, bench warrant, Placement appearances, collaborative court appearances at our Principals Collaborative Center (PCC), Youth Family Violence Court (DV), and Wellness (mental health clients), pre-trials, motions, dispositions, and CARC appearances.   The calendars and records are kept in our office at 258 A Laguna Honda Blvd., our Public Defender Juvenile Justice Center. ",Above target is positive,General,5596,4758,4460,4460,4850,4460,4600,4600,Actual is based on number of total court appearances where representation was provided by the PD Juvenile Unit.,,A Public Protection,Yes,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Represent defendants effectively,PDR.AIB.01.868.868,Number of mental health clients represented,The number of clients represented by the PDR in conservatorship and involuntary psychiatric hospitalization proceedings.,"Collection Method:  Ongoing hand count by PDR Mental Health Unit staff. Timing:  Since this data is maintained by our department, it can be accessed upon request, when needed, by hand count.",Above target is positive,General,2871,2965,3457,3457,3000,3270,3000,3000,Actual is based on actual number of clients represented by the PD Mental Health Unit.,,A Public Protection,Yes,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",CRIMINAL AND SPECIAL DEFENSE,Represent defendants effectively,PDR.AIB.01.867.867,Number of misdemeanor matters handled,"Number of misdemeanor cases in which the PDR appeared in court at least once. A misdemeanor is an offense carrying a possible sentence of one year or less local confinement in the county jail.  (examples: prostitution, driving under the influence, vandalism).",Collection Method: CCSF CMS Report #5029 Timing:  Upon request to CMS,Above target is positive,General,7557,4570,4635,4635,4269,3625,4269,3625,The department receives this data from Superior Court CMS (Case Management System). The actual is based on actual number of clients represented by the PD Misdemeanor Unit. Total is from CMS report.,,A Public Protection,Yes,No,No,No,Yes,No
PDR,PUBLIC DEFENDER,"Roberts, Larry",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,PDR.XXX.01.880.880,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","Collection Method: New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion. Timing:  Evaluations are done yearly and available by the end of the fiscal.   New employees are provided 90 day and 6 month evaluations.",Above target is positive,General,153,156,162,162,166,163,163,163,"2 employees retired, 1 employee transferred , 4 employees separated.",,A Public Protection,Yes,No,No,No,No,Yes
PDR,PUBLIC DEFENDER,"Roberts, Larry",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,PDR.XXX.01.881.881,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted and completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.",Collection Method: The department's unit managers are responsible for completing performance evaluations for all employees in their units. The Chief Attorney oversees the evaluation process.  All evaluations are maintained in the employee's personnel file. Timing:  Refer to previous measure.,Above target is positive,General,153,75,155,155,166,163,163,163,"2 employees retired, 1 employee transferred , 4 employees separated.",,A Public Protection,Yes,No,No,No,No,Yes
POL,POLICE,"Goldberg, John",DEPARTMENT-WIDE/OTHER,All city employees have a current performance appraisal,KPI322857353828839,Percentage of employees for whom performance appraisals were scheduled,"Collection Method: For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.  Departments can do appraisals for temporary employees at their discretion.  Timing:  There is no system currently in place to track the submission of performance appraisals.  Until 2000, the Staff Inspection Unit had the task of ensuring compliance with completion and tracking of the PIP binders and PAR forms.  We anticipate using the new HRMS system to monitor compliance.  The new Early Intervention System will also be implemented to address OCC concerns in this area.  For Civilian personnel, Department of Human Resources notifies the SFPD when a performance evaluation is due.  Permanent employees are scheduled for evaluation on a yearly basis.  the completed evaluation is placed in the individual's personnel file.",New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent employees must have an annual appraisal.,Above target is positive,General,95,100,100,100,100,92,100,100,"The SFPD has a policy that requires performance appraisals twice per year. For FY2013, 100% of the 2,554 employees were scheduled for performance appraisals, equaling the FY2013 Target. ",,A Public Protection,Yes,No,No,No,No,Yes
POL,POLICE,"Goldberg, John",DEPARTMENT-WIDE/OTHER,All city employees have a current performance appraisal,KPI322858353847186,Percentage of employees for whom scheduled performance appraisals were completed,"Collection Method:  SFPD sworn personnel are evaluated by their supervisor every six month period; March -  August and September - February.  An Officer's (Q2's) Performance Appraisal Report (PAR) is placed in their Performance Improvement Program (PIP) Binder which is kept at their Unit under lock and key.  When an officer transfers to a new assignment the PIP Binder also is transferred.  Probationary Officers are evaluated once every month.  Inspectors, Sergeants (Q50's), Lieutenants (Q60's) and Captains (Q80's) PARs are kept in their personnel file.  For civil personnel, Department of Human Resources notifies the SFPD when a performance evaluation is due.  Permanent employees are scheduled for evaluation on a yearly basis.  The completed evaluation is placed in the individual's personnel file.  Timing:  There is no system currently in place to track the submission of Performance Appraisals.  Each District Captain monitors compliance of the completion of Performance Appraisels.  ","New measure requested by Mayor on 8/15/2005.  This is the number of applicable employees in a department for whom a performance appraisal was conducted during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled accordingto their applicable probationary period.  For other employees, reviews should be conducted every 12 months.  Departments can do appraisals for temporary employees at their discretion.",Above target is positive,General,87,89,90,90,100,92,100,92,"In FY2013, 90% of all scheduled performance appraisals (2,301 employees) were completed. Throughout the year employees may be on Disability Paid Leave (DP), Catastrophic Illness, or a variety of extended approved leaves of absence. To that end, performance appraisals for those employees can't accurately be done and, thus, are not completed within the departmental semi-annual cycle.  The total falls short of the FY2013 Target but is an improvement over the FY2012 total of 89%. ",,A Public Protection,Yes,No,No,No,No,Yes
POL,POLICE,"Goldberg, John",OPERATIONS AND ADMINISTRATION,Ensure safety of officers and the public,POL.ACM.01.912.912,Number of collisions where the officer is at fault,A count of the number of officer involved vehicle collisions where the officer was determined to be at fault. Collisions are reviewed by Dept. Accident Board of Review to determine training or discipline required.,"Collection Method: Data is selected from traffic collision reports and entered into the Department Accident Board of review (DABOR ) database, maintained at SFPD Traffic Division.  Officer Sally Foster (553-1198) maintains statistics on DABOR dispositions. Timing:  Monthly.",Below target is positive,General,88,72,6,72,75,55,50,50,"The FY2013 total of 72 at-fault incidents is 4% below the Target, and is the same as in FY2012 (0%).  The Department Accident Board of Review (DABOR) is a panel which holds officers accountable. Repeat officer offenders will be given additional training and progressive discipline.  The severity of the collision may be considered in the discipline process.   ",,A Public Protection,Yes,No,No,No,No,No
POL,POLICE,"Goldberg, John",PATROL,Arrest perpetrators of crimes,POL.ACX.03.936.936,Number of adult arrests for Part I property crimes,"Number of adult arrests for Part 1 property crimes UCR = Uniform Crime Reporting, a program of the FBI.   UCR Part I property crimes are burglary, larceny-theft, motor vehicle theft and arson.","Collection Method: Arrests are recorded by the Sheriff's Office at time of booking, captured by the Court Management System (CMS), and forwarded monthly by mag-tape to the California Department of Justice (DOJ), Sacramento. At SFPD request, DOJ Criminal Justice Statistics Center produces a monthly report, ""Adult and Juvenile Arrests Reported"" which provide these stats. Timing:  This data is not available in the SFPD automated system. As stated above, arrest information is obtained through special requests from DOJ, and provided in aggregate form to the Department. (DOJ Report AR3311)",Below target is positive,General,0,0,0,0,0,0,0,0,,,A Public Protection,Yes,No,No,No,No,No
POL,POLICE,"Goldberg, John",PATROL,Arrest perpetrators of crimes,POL.ACX.03.932.932,Number of adult arrests for UCR Part I violent crimes,"Number of adult arrests for Part 1 violent crimes. Uniform Crime Report (UCR) violent crimes are: homicide, forcible rape, robbery and aggravated assault. Adult is age 18 years and older.","Collection Method: This data is collected by the Sheriff Office. Arrests are recorded by Sheriff at time of booking, captured by Court Management System (CMS), and forwarded monthly by mag-tape to the California Department of Justice (DOJ), Sacramento. At SFPD request, DOJ Criminal Justice Statistics Center produces a monthly report, ""Adult and Juvenile Arrests Reported"" which provide these stats. Timing:  This data is not available in the SFPD automated system. As stated above, arrest information is obtained through special requests from DOJ, and provided in aggregate form to the Department. (DOJ Report AR3311)",Below target is positive,General,0,0,0,0,0,0,0,0,,,A Public Protection,Yes,No,No,No,No,No
POL,POLICE,"Goldberg, John",PATROL,Arrest perpetrators of crimes,POL.ACX.03.935.935,Number of juvenile arrests for Part I property crimes,"Number of Juvenile arrests for Part 1 property crimes. UCR = Uniform Crime Reporting, a program of the FBI.   UCR Part I property crimes are burglary, larceny-theft, motor vehicle theft, and arson.","Collection Method: Arrests are recorded by Youth Guidance Center (YGC) at time of booking, captured by the Court Management System (CMS), and forwarded monthly by mag-tape to the California Department of Justice (DOJ), Sacramento. At SFPD request, the DOJ Criminal Justice Statistics Center produces a monthly report, ""Adult and Juvenile Arrests Reported"" which provide these stats. Timing:  This data is not available in the SFPD automated system. As stated above, arrest information is obtained through special requests from DOJ, and provided in aggregate form to the Department (DOJ Report AR3311)",Below target is positive,General,0,0,0,0,0,0,0,0,,,A Public Protection,Yes,No,No,No,No,No
POL,POLICE,"Goldberg, John",PATROL,Arrest perpetrators of crimes,POL.ACX.03.931.931,Number of juvenile arrests for UCR Part I violent crimes,"Number of juvenile arrests for Part 1 violent crimes. UCR violent crimes are: homicide, forcible rape, robbery and aggravated assault. Juveniles are under 18 years of age. UCR = Uniform Crime Reporting, a program of the FBI.","Collection Method: This data is collected by the Sheriff's Office. Arrests are recorded by the Youth Guidance Center (YGC) at time of booking, captured by the Court Management System (CMS), and forwarded monthly by mag-tape to the California Department of Justice (DOJ), Sacramento. At SFPD request, DOJ Criminal Justice Statistics Center produces a monthly report, ""Adult and Juvenile Arrests Reported"" which provide these stats. Timing:  This data is not available in the SFPD automated system. As stated above, arrest information is obtained through special requests from DOJ, and provided in aggregate form to the Department (DOJ Report AR3311).",Below target is positive,General,0,0,0,0,0,0,0,0,,,A Public Protection,Yes,No,No,No,No,No
POL,POLICE,"Goldberg, John",PATROL,Ensure the safety of citizens,POL.ACX.04.945.945,"Ensure the safety of persons riding public transportation (MUNI)  in the City; offenses reported as per 1,000 riders","Number of crimes committed on a MUNI bus or at a MUNI facility, as a percentage of MUNI ridership (per 1000 riders), via the SFPD Incident file.  All incidents related to public transportation are coded as such and retrievable.  ",Collection Method: The proposed figures are obtained via a CrimeMAPS search using Premise Codes associated with Muni. Timing:  Data is obtained monthly.,Below target is positive,General,2.54,1.36,0.33,2.77,1.5,1.92,1.75,1.5,"Offenses are based on a daily ridership of 734,000.  The popularity of personal electronic devices (cell phones, tablets, etc.) has contributed to an increase in Robbery and Theft as many riders use them while in transit.  We will continue to work with partners on public awareness and education campaigns. Directed patrols will be regularly evaluated and adjusted based on crime patterns.                                                                                                                Note, beginning Jan. 1, 2013, at the direction of new MTA Lieutenant Joe Engler, the MTA database began including more bus stop premises, which considerably raises the number of monthly incidents (therefore, comparisons with FY2012 and FY2013 Target and Projected values should not be made).  Also note, beginning with FY2012 there was a change in database systems (from SFPD's CrimeMaps/CABLE to MTA's Muni Response Team Oracle Incident Reporting System) and data collection methods. The FY2012 rate and offenses were recalculated using the MTA database for comparing with FY2013; the FY2013 Target and Projection values were previously entered into COGNOS, therefore were not revised. ",,A Public Protection,Yes,No,No,No,No,No
