Dept,Department,Owner,Program,Goal,KPI_CODE,Performance.Measure,Description,Technical.Description,Performance.Pattern,Unit.of.Measure,FY.2012...Total.Actual.Data,FY.2013...Total.Actual.Data,FY.2014...June.Actual.Data,FY.2014...Total.Actual.Data,FY.2014...Total.Target.Data,FY.2014...Total.Projected.Data,FY.2015...Total.Target.Data,FY.2016...Total.Target.Data,FY.2014...Yr.End.Actual.Explanation,FY.2014...Yr.End.Dept.Comment,Major.Service.Area,Annual.Performance.Measure.Report,City.Survey.Report,CAFR.Report,Government.Barometer.Report,Mayor.s.Budget.Book,Performance.Appraisal.Report,met.goal,goal.percent
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,"Providing a voter education and outreach program in accordance with the Voting Rights Act, the Help America Vote Act, and the Equal Access to Services Ordinance",REG.FCH.02.1090.1090,Number of outreach events,"The Department's outreach program is based on the requirements of the federal Voting Rights Act and Help America Vote Act, the California Election Code, and the San Francisco Equal Access to Services Ordinance. This is the number of outreach events to target communities established according to these requirements. These communities include voters whose primary language is Chinese, Spanish, or Russian; seniors; African-American voters; low-income voters; voters with disabilities, youth; immigrant/new citizen voters; and voters who were previously incarcerated. The year-end value is the cumulative number from each election in the fiscal year.","Source: ""Summary of Outreach Activities,"" a post-election report of outreach statistics drawn from the Department's outreach database. Collection Method: Data is entered into the outreach database during the voter education campaign for each election. After the election, this data is summarized in the ""Summary of Outreach Activities"". Collection Frequency: Data is gathered during the two months prior to an election, when that election's voter education campaign is conducted. The ""Summary of Outreach Activities"" is prepared after each election.",Above target is positive,General,435,191,149,211,241,102,138,195,The Department conducted 149 voter outreach events from January 2014 - June 2014. ,,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-12.45
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,Providing bilingual poll workers at San Francisco's polling places,REG.FCH.03.1094.1094,Number of bilingual poll workers recruited,"To assure adequate placement of qualified bilingual poll workers for each polling place, the Department researches and maintains recruitment sources by partnering with community-based organizations, high schools, colleges and universities. Targets and projections are determined by the bilingual staffing mandates of: The Voting Rights Act, Section 203; California Elections Code, Section 12303 (c); and the Help America Vote Act as adjudicated by the Department of Justice. Supporting information will also be derived from analysis of the past two comparable or similar elections. This is the number of bilingual poll workers recruited for an election. The year-end value is the average of the values from each election in the fiscal year.","Source: ""Active Poll Worker Monitoring Spreadsheet"". Collection Method:  Data is derived from Election Management System (EIMS) reports on poll worker assignments. In the Performance Measurement System, values are entered for individual elections and the calculation is set to average these values across the fiscal year. Collection Frequency: Data is gathered during the process of assigning poll workers to polling places prior to an election. It is available after each election.",Above target is positive,General,1882,1175,1224,2073,1300,750,670,600,"The Department recruited 1,224 Bilingual pollworkers to work at the polling places for the June 2014 Consolidated Direct Primary. ",,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,59.46
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,Providing bilingual poll workers at San Francisco's polling places,KPI159264427395201,Percentage of polling places staffed with bilingual Chinese-speaking pollworkers,"The Department uses legal staffing mandates, demographic information, and analysis of recent comparable elections to determine which polling places require bilingual Chinese-speaking poll workers, and assigns the poll workers accordingly. This is the percentage of polling places staffed with bilingual Spanish-speaking poll workers. The numerator is the number of polling places staffed with bilingual Chinese-speaking poll workers. The denominator is the total number of polling places. The year-end value is the average of the values from each election in the fiscal year.","Source: ""Active Poll Worker Monitoring Spreadsheet"". Collection Method:  Data is derived from Election Management System (EIMS) reports on poll worker assignments. The numerator is the number of polling places with bilingual Chinese-speaking poll workers, and the denominator is the total number of polling places. In the Performance Measurement System, values are entered for individual elections and the calculation is set to average these values across the fiscal year. Collection Frequency: Data is gathered during the process of assigning poll workers to polling places prior to an election. It is available after each election.",Above target is positive,Percent,0.795,0.82,0.91,0.875,0.62,0.73,0.62,0.64,"During the June 2014 Consolidated Direct Primary, 91% of all polling places were staffed with Chinese-speaking pollworkers. ",,,No,No,No,No,No,No,TRUE,41.13
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,Providing bilingual poll workers at San Francisco's polling places,KPI159266427424987,Percentage of polling places staffed with bilingual Spanish-speaking pollworkers,"The Department uses legal staffing mandates, demographic information, and analysis of recent comparable elections to determine which polling places require bilingual Spanish-speaking poll workers, and assigns the poll workers accordingly. This is the percentage of polling places staffed with bilingual Spanish-speaking poll workers. The numerator is the number of polling places staffed with bilingual Spanish-speaking poll workers. The denominator is the total number of polling places. The year-end value is the average of the values from each election in the fiscal year.","Source: ""Active Poll Worker Monitoring Spreadsheet"". Collection Method:  Data is derived from Election Management System (EIMS) reports on poll worker assignments. The numerator is the number of polling places with bilingual Spanish-speaking poll workers, and the denominator is the total number of polling places. In the Performance Measurement System, values are entered for individual elections and the calculation is set to average these values across the fiscal year. Collection Frequency: Data is gathered during the process of assigning poll workers to polling places prior to an election. It is available after each election.",Above target is positive,Percent,0.385,0.47,0.46,0.47,0.31,0.4,0.31,0.36,"During the June 2014 Consolidated Direct Primary, 48% of all polling places were staffed with Spanish-speaking pollworkers. ",,,No,No,No,No,No,No,TRUE,51.61
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,San Francisco voter registration and turnout,REG.FCH.01.1084.1084,Number of registered voters,The number of San Francisco residents who are registered to vote. The year-end value is an average of the values from each election in the fiscal year. ,"Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.",Above target is positive,General,470668,440037,435757,435757,466835,453238,466835,488053, ,,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-6.66
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,San Francisco voter registration and turnout,REG.FCH.01.1087.1087,Turnout as a percentage of registration,Voter turnout as a percentage of registration. The year-end value is an average of the values from each election in the fiscal year. ,"Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. The numerator is the total turnout in an election and the denominator is the total registration at the time of the registration deadline before the election. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.",Above target is positive,Percent,0.3665,0.73,0.297,0.295,0.4,0.33,0.62,0.46,The voter turnout for the June 2014 Consolidated Direct Primary was 29.7% of registered voters. ,,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-26.25
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,San Francisco voter registration and turnout,REG.FCH.01.1086.1086,Vote-by-mail turnout,The number of voters who vote by vote-by-mail ballot. The year-end value is an average of the values from each election in the fiscal year. ,"Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.",Above target is positive,General,104149.5,193196,89993,89993,127500,91651,147613,137223,This was the total Vote-By-Mail turnout for the June 2014 Consolidated Direct Primary. ,,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-29.42
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,San Francisco voter registration and turnout,REG.FCH.01.1088.1088,Vote-by-mail turnout as a percentage of total turnout,Vote-by-mail turnout as a percentage of total turnout. The year-end value is an average of the values from each election in the fiscal year. ,"Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. The numerator is the total number of vote-by-mail ballots cast in an election and the denominator is the total turnout in the election. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.",Above target is positive,Percent,0.61485,0.53,0.695,0.676,0.68,0.63,0.51,0.62,"Of the total turnout in the June 2014 Consolidated Direct Primary, 69.5% was from vote-by-mail ballots.",,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-0.59
REG,ELECTIONS,"Burgos, Sandro",ELECTIONS,San Francisco voter registration and turnout,REG.FCH.01.1085.1085,Voter turnout,The number of registered voters that cast a vote in an election. This includes votes cast at polling places and by mail. The year-end value is an average of the values from each election in the fiscal year. ,"Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.",Above target is positive,General,171173.5,364875,129399,129399,289438,146052,289438,222244,This was the total voter turnout for the June 2014 election. ,,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-55.29
RET,RETIREMENT SYSTEM,"Huish, Jay",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,RET.XXX.01.1111.1111,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","Collection Method: New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion. Data collection method will be status report from department HR Manager. Timing:  Data is available as of June 30 for the preceding Plan Year.",Above target is positive,General,42,85,0,48,100,100,100,60, ,,F General Administration & Finance,Yes,No,No,No,No,Yes,FALSE,-52
RET,RETIREMENT SYSTEM,"Huish, Jay",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,RET.XXX.01.1112.1112,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.",Collection Method: Data collection method will be status report from department HR Manager. Timing:  Data is available as of June 30 for the preceding Plan Year.,Above target is positive,General,41,56,0,38,101,90,100,65, ,,F General Administration & Finance,Yes,No,No,No,No,Yes,FALSE,-62.38
RET,RETIREMENT SYSTEM,"Huish, Jay",EMPLOYEE DEFERRED COMP PLAN,Provide effective administration of the Deferred Compensation Plan,RET.EDC.01.1108.1108,Percentage of eligible City employees who participate in the Deferred Compensation Plan,Plan participants as a percentage of total Plan-eligible City employees,"Collection Method: Plan participant data collected and provided by Plan Administrator; plan-eligible population data was expanded by the TPA (ING) in 2006 to include the retiree population - with a resulting decrease in participation from 64% in 2004-2005 to the current 54% as of June 30, 2006.  Plan-eligible population data collected and provided through TPA (ING) will be maintained at the office of SFERS Timing:  Data is available as of June 30 for the preceding Plan Year.",Above target is positive,Percent,0.53,0.53,0,0.53,0.5,0.5,0.5,0.5, ,,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,6
RET,RETIREMENT SYSTEM,"Huish, Jay",INVESTMENT,Maximize investment returns at an acceptable risk level for Plan participants,RET.FDF.01.1110.1110,"Return on investment ranking of 50th percentile or better among public pension plans with assets in excess of $1 billion, using 5-year average return (1 equals yes)","The target return on investment will be 50 percentile ranking or better among the TUCS universe of public pension funds with $1 billion or more in assets (5 Year Average returns).  Wilshire's Trust Universe Comparison Service (TUCS) is a cooperative effort between Wilshire Associates and custodial organizations. Custodians submit asset positions and performance data to be pooled into universes of managed tax-exempt portfolios. TUCS is the most widely accepted benchmark for the performance of institutional assets. It provides comprehensive information on the effects of risk, allocation, and style, creating powerful decision-making tools based on accurate and timely information.","Collection Method: Using TUCS quarterly survey of public pensions with more than $1 billion in fund assets, the report will indicate the percentile ranking of the SFERS trust.  Published TUCS surveys are maintained at the offices of SFERS. Timing:  Data is available on a quarterly basis; Target is measured as of June 30 for the preceding Plan Year.",On target is positive,General,1,0,0,1,1,1,1,1, ,,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,100
RET,RETIREMENT SYSTEM,"Huish, Jay",RETIREMENT SERVICES,Provide accurate account and retirement benefit information to members in a timely manner,RET.FDD.01.1109.1109,Average number of individualized communications per active Retirement Plan member,"The number of communications provided to active Plan members which contain individualized or targeted information related to SFERS account and/or benefits (e.g. annual member statements, retirement counseling sessions, pre-retirement seminars, pretax buyback counseling, targeted newsletters]",Collection Method: Counts of each of the measures will be collected and maintained as part of the on-going performance/productivity reporting to the Retirement Board. Documentation will be maintained at the offices of SFERS Timing:  Data is available as of June 30 for the preceding Plan Year.,Above target is positive,General,3.22,3.21,0,1.6,3.12,4.72,3.12,3.2, ,,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-48.72
RNT,RENT ARBITRATION BOARD,"Collins, Robert",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,RNT.XXX.01.1118.1118,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","At a mid-fiscal year senior staff meeting, usually held in December, the program managers are surveyed regarding scheduling of performance appraisals which are to occur before the end of the fiscal year.",Above target is positive,General,28,27,26,26,28,29,31,31,Performance appraisals were scheduled and completed for all 26 permanent employees (3 new employees have been with the department for less than 6 months and 2 positions are temporarily vacant). ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,Yes,FALSE,-7.14
RNT,RENT ARBITRATION BOARD,"Collins, Robert",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,RNT.XXX.01.1119.1119,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted and completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.","At a fiscal year-end senior staff meeting, usually held in June, the program managers are surveyed regarding completion of performance appraisals during the fiscal year.",Above target is positive,General,28,27,26,26,28,28,28,28,Performance appraisals were scheduled and completed for all 26 permanent employees (3 new employees have been with the department for less than 6 months and 2 positions are temporarily vacant). ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,Yes,FALSE,-7.14
RNT,RENT ARBITRATION BOARD,"Collins, Robert",DEPARTMENT-WIDE/OTHER,Preserve affordable rental housing stock,RNT.XXX.02.1120.1120,Number of rent-controlled housing units,"Total amount of Rent Board fees actually collected in each fiscal year, divided by the amount of the per unit Rent Board fee for that fiscal year. The result is the number of rental units subject to the Rent Ordinance in that fiscal year. Results are compared with the prior fiscal year to determine the percentage change in the number of rent-controlled housing units over time. This measure relies on underlying data that can vary widely from year-to-year. ",Collection Method: Obtain from the Tax Collector the total amount of Rent Board fees actually collected in each fiscal year. Divide that figure by the amount of the per unit Rent Board fee for that fiscal year. The result is the number of rental units subject to the Rent Ordinance in that fiscal year. Compare the result with the prior fiscal year to determine the percentage change in the number of rent-controlled housing units over time. Timing:  The data is available annually from the Tax Collector after the end of the Fiscal Year. Target: Note that no target can be set for this measure because this is a non-program performance measure.,Above target is positive,General,171609,171305,173000,173000,0,0,0,0,"As of June 30, 2014, the Controller's Office reported collecting $5,017,009 in Rent Board fees for FY 2014. This number divided by the per unit fee of $29.00 in effect during FY 2014 shows approximately 173,000 rental units subject to the Rent Ordinance, slightly higher than the number of units estimated in FY 2013 (171,305). The apparent increase in the number of covered rental units is partially due to the high collection rate (99.1%) on the date of reporting by the Controller's Office. ",,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No,TRUE,Inf
RNT,RENT ARBITRATION BOARD,"Collins, Robert",RENT BOARD,Provide a timely resolution for all allegations of wrongful eviction filings,RNT.CCC.02.1114.1114,Average number of days needed to process allegations of wrongful evictions,This measure tracks the number of days from filing to first staff action on allegations of wrongful eviction filings to improve client confidence in our responsiveness.,We run a database report that shows the date of filing of all Reports of Alleged Wrongful Eviction for a six-month period (July through December for the mid-year reporting period and January through June for the year-end reporting period). The database report also includes the date of the first staff action taken after receipt of the Reports of Alleged Wrongful Eviction. A manual calculation is then performed to determine the number of work days between the two dates. The number of work days is totaled and then divided by the number of Reports of Alleged Wrongful Eviction filed during the six month reporting period. The resulting figure is the average number of days  to process allegations of wrongful eviction. ,Below target is positive,General,1.5,1,2.8,2.8,2,2,2,2,"The average time to process allegations of wrongful evictions during the last six months of FY 2014 increased from 1.0 to 2.8 days. During much of this period, we had a vacant clerical position while simultaneously experiencing a significantly increased workload. The processing time improved in May and June after a new clerical worker was hired.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No,FALSE,-40
RNT,RENT ARBITRATION BOARD,"Collins, Robert",RENT BOARD,Provide a timely resolution of all petitions,RNT.CCC.03.1115.1115,Average number of days for Administrative Law Judges to submit decisions for review,"Days from close of record to when decision is submitted for review so that cases are adjudicated more quickly, clients get closure sooner and the department gets closer to meeting legal mandate of 30 days.","The ALJs �close the record� when the hearing is finished and no other papers or files need to be submitted. Then the ALJ enters a date for that event in our database. When the decision is submitted to the Sr. ALJ for review, there is a field for entering that information as well, which is entered by the legal secretary. The number of days between the two events is calculated for each decision submitted. In order to determine the average number of days for the ALJs to submit decisions for review, the total number of days for all decisions submitted during the six-month reporting period (July through December for mid-year reporting period and January through June for year-end reporting period) is summed, then divided by the total number of decisions submitted. This results in the average number of days for administrative law judges to submit decisions for review.",Below target is positive,General,19,19,22,22,25,25,25,25,"The average number of days to submit decisions increased to 24 days during the last six months of FY 2013, bringing the annual average for FY 2014 to 22 days, a few days longer than FY 2013. (The June 2014 actual value of 22 days is the 12-month average for FY 2014, not a 6-month Jan-June value.) The ALJs produced 724 decisions in FY 2014 compared to 566 in FY 2013, a 28% increase. The increased workload directly correlates with the increase in the number of days to submit decisions. The ALJs are performing exceptionally well under the circumstances.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No,TRUE,12
RNT,RENT ARBITRATION BOARD,"Collins, Robert",RENT BOARD,Provide translations of documents and make available through multiple sources,RNT.CCC.04.1116.1116,Number of discrete documents in languages other than English,"Provide multiple language translations of signage, documents, informational pamphlets (Fact Sheets), petition/appeal forms and phone scripts and make them available at our office, through our 24-hour Fax Back system, through our 24-hour Info-to-Go automated phone system, as attachments to mailed documents, and on our website.","The Information Management team consists of the Deputy Director and the Sr. ALJ. They are responsible for obtaining translations of documents and phone scripts and for making them available in our office and publishing them on our website, 24-hour Fax Back system, and 24-hour Info-to-Go phone system. A list of all translated items is maintained and updated regularly by the Sr. ALJ. The list is used to determine the number of discrete documents in languages other than English.",Above target is positive,General,387,392,400,400,416,416,416,423,"As of 6/30/14, we had a total of 400 discreet translated documents. Although we have not met our FY 2014 target of 416 translated documents, we have updated many of our outdated translations and are continuously working to make our materials and services more accessible to limited-English speaking clients.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No,FALSE,-3.85
RNT,RENT ARBITRATION BOARD,"Collins, Robert",RENT BOARD,Provide translations of documents and make available through multiple sources,RNT.CCC.04.1117.1117,Number of locations where translated documents are available,"Provide multiple language translations of signage, documents, informational pamphlets (Fact Sheets), petition/appeal forms and phone scripts and make them available at our office, through our 24-hour Fax Back system, through our 24-hour Info-to-Go automated phone system, as attachments to mailed documents, and on our website.","The Information Management team consists of the Deputy Director and the Sr. ALJ. They are responsible for obtaining translations of documents and phone scripts and for making them available in our office and publishing them on our website, 24-hour Fax Back system and 24-hour Info-to-Go phone system. A list of all translated items is maintained and updated regularly by the Sr. ALJ, including the location(s) where the translated item can be found. The list is used to determine the number of locations where translated documents are available.",Above target is positive,General,746,964,758,758,830,830,830,851,"By June 30, 2014, we increased the number of translated documents to 400 and made them available in more locations (758). 76 translated documents are in our office; 186 translated documents are on our website; 14 translated documents are attachments to mailed documents; 138 translations appear on petition, eviction and appeal notices generated by our Filemaker database; 172 translated documents are available on our 24-hour Fax Back system; and, 172 translated documents are available on our 24-hour Info-to-Go automated phone system.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No,FALSE,-8.67
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Ensure a safe and sustainable institution for the public visitors, the living collections and the aquarium staff",SCI.EEH.04.1136.1136,Percentage of staff who commute sustainably to the Academy,Percentage of staff and vistors who commute sustainably to the Academy,Collection Method: Human Resources conducts annual surveys.  Timing:  HR Prespectives and AD information are available annually.  Visitor information is currently not tracked. ,Above target is positive,Percent,0.25,0.31,0.35,0.35,0.3,0,0.3,0, ,,E Culture & Recreation,Yes,No,No,No,No,No,TRUE,16.67
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Ensure a safe and sustainable institution for the public visitors, the living collections and the aquarium staff",SCI.EEH.04.1135.1135,Recycling rate of Academy waste,Measure of the recycling rate for Academy waste.  This is estimated by the recycling company and can be accessed on a monthly basis.  Academy waste varies from week to week because of public attendance fluctuates based on purchases.  ,Collection Method: Recycling company measures the amount of garbage collected and sorts recycling and organics. Timing:  The recycling company provides information as needed.,Above target is positive,Percent,0.75,0.81,0.81,0.81,0.75,0.8,0.75,0.75, ,,E Culture & Recreation,Yes,No,No,No,Yes,No,TRUE,8
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Provide excellent and educational experiences to a broad range of visitors that inspire them  to explore, explain, and sustain life",KPI110519515970595,City cost per visitor,,,Above target is positive,Currency,1.96,0,3.27,3.27,2.01,3.07,3.09,3.02, ,,,No,No,No,No,Yes,No,TRUE,62.69
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Provide excellent and educational experiences to a broad range of visitors that inspire them  to explore, explain, and sustain life",SCI.EEH.03.1129.1129,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.  ,Above target is positive,General,1439143,1474878,671848,1353953,1425000,1362875,1425000,1390470, ,,E Culture & Recreation,Yes,No,No,No,Yes,No,FALSE,-4.99
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Provide excellent and educational experiences to a broad range of visitors that inspire them  to explore, explain, and sustain life",SCI.EEH.03.1131.1131,Number of visitors attending on San Francisco Neighborhood Free Days and Quarterly Free Days,Number of visitors attending on the first (free) Wednesday of every month.,Collection Method: Data is collected by scanning barcodes at point of entry. The scans update data in Galaxy. Timing:  Reports available every third Wednesday in Galaxy. ,Above target is positive,General,76019,41738,47002,47002,45000,0,45000,0, ,,E Culture & Recreation,Yes,No,No,No,No,No,TRUE,4.45
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Provide excellent and educational experiences to a broad range of visitors that inspire them  to explore, explain, and sustain life",SCI.EEH.03.1134.1134,Number of volunteer hours,Total number of volunteer hours on an annual basis,Collection Method: Collected on daily sign in/out sheets.  Information is entered in to an access database monthly and housed on our network in the Volunteer Services department. Timing:  Sign in/out sheets are available daily.  Access database is updated and available monthly.  Currently we are producing a report annualy.,Above target is positive,General,77500,81000,67400,67400,75000,0,75000,0, ,,E Culture & Recreation,Yes,No,No,No,No,No,FALSE,-10.13
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Provide excellent and educational experiences to a broad range of visitors that inspire them  to explore, explain, and sustain life",SCI.EEH.01.1122.1122,Percentage of randomly surveyed visitors rating the quality of the Aquarium as good or better,Percentage of randomly selected visitors who rate the quality of the Aquarium as Good or Excellent in a survey.,Collection Method: Survey conducted by outside firms during the summer months and other off months in the winter.  FY actuals average the results of the two surveys. Timing:  This data is available semi-annually.,Above target is positive,Percent,0.95,0.88,0.91,0.91,0.9,0.9,0.9,0.9, ,,E Culture & Recreation,Yes,No,No,No,Yes,No,TRUE,1.11
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Provide meaningful paid intern opportunities for San Francisco teenagers to learn about basic science concepts, and explore potential science and education careers through a youth development program within a paid work environment",SCI.EEH.05.1137.1137,Number of Careers in Science Program interns,Number of Careers in Science Program interns (San Francisco highschool and college students),"Collection Method: Data is collected through an electronic time management system, then imported into ADP payroll.  Information is housed on our network, paper records kept in Payroll office. Timing:  Data is collected bi-weekly and paper records are available bi-weekly, payroll (electronic) records are available monthly.",Above target is positive,General,38,30,38,38,35,0,35,0, ,,E Culture & Recreation,Yes,No,No,No,No,No,TRUE,8.57
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,"Provide meaningful paid intern opportunities for San Francisco teenagers to learn about basic science concepts, and explore potential science and education careers through a youth development program within a paid work environment",SCI.EEH.05.1138.1138,Number of hours worked by Careers in Science interns,Number of hours worked by the interns in the Careers in Science Program,"Collection Method: Collected through E-Time, ADP Payroll.  Records are located in Payroll office on printed registers as well as housed on an ADP and HR Prespectives server on our network. Timing:  Data is available on a bi-weekly basis.",Above target is positive,General,11891,5500,17913,17913,12000,0,12000,0, ,,E Culture & Recreation,Yes,No,No,No,No,No,TRUE,49.28
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",ACADEMY OF SCIENCES,Reach school-aged and pre-school children in San Francisco and provide educational resourses to San Franciso schools and teachers.,SCI.EEH.02.1124.1124,Number of school-aged children participating in an Academy educational program,How many students participate in Academy educational programs.,"Collection Method: Reservations for the programs are taken by phone and entered into the Galaxy system. Timing:  Data is available daily.  Currently, an annual report is run.  ",Above target is positive,General,62958,29950,138218,138218,57000,0,57000,0, ,,E Culture & Recreation,Yes,No,No,No,No,No,TRUE,142.49
SCI,ACADEMY OF SCIENCES,"Robson, Stacy",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,SCI.XXX.01.1140.1140,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","Collection Method: Data is collected by supervisors on an annual appraisal form which is available on our intranet in HR, on our network or can be printed out and filled out manually.  Paper or electronic copies are kept by our Chief Engineer in the Aquarium department.  Performance appraisal for the Chief Engineer is retained by Aquarium director. Timing:  Annually",Above target is positive,General,11,11,12,12,11,0,11,0, ,,E Culture & Recreation,Yes,No,No,No,No,Yes,TRUE,9.09
